YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.3,36.3,NA,NA,34.9,37.8,7071,NA,NA,NA,NA,NA,Non-Hispanic White,"(42.469400913, -93.816490556)",OWS,OWS1,Q037,VALUE,19,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,LA,Louisiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,22,22,NA,NA,18.9,25.4,1263,NA,35 - 44,NA,NA,NA,NA,"(31.312660644, -92.445680071)",PA,PA1,Q045,VALUE,22,Age (years),35 - 44,AGEYR,AGEYR3544
2012,2012,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.6,39.6,NA,NA,36.9,42.4,2102,NA,NA,NA,Male,NA,NA,"(44.567449424, -120.155031326)",OWS,OWS1,Q037,VALUE,41,Gender,Male,GEN,MALE
2012,2012,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.7,29.7,NA,NA,26,33.7,689,NA,35 - 44,NA,NA,NA,NA,"(38.665510202, -80.712640135)",PA,PA1,Q047,VALUE,54,Age (years),35 - 44,AGEYR,AGEYR3544
2021,2021,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,21.3,21.3,NA,NA,19.5,23.1,3498,NA,NA,NA,Male,NA,NA,"(44.6613195430005, -84.71439026999968)",FV,FV1,Q019,VALUE,26,Gender,Male,GEN,MALE
2014,2014,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.1,34.1,NA,NA,31.9,36.5,3034,NA,NA,NA,Male,NA,NA,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,01,Gender,Male,GEN,MALE
2017,2017,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.7,36.7,NA,NA,35,38.4,4380,NA,55 - 64,NA,NA,NA,NA,"(38.3477403, -98.200781227)",OWS,OWS1,Q037,VALUE,20,Age (years),55 - 64,AGEYR,AGEYR5564
2017,2017,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,24.8,24.8,NA,NA,23.3,26.3,5762,Total,NA,NA,NA,NA,NA,"(35.472031356, -97.521070214)",PA,PA1,Q045,VALUE,40,Total,Total,OVR,OVERALL
2011,2011,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35.8,35.8,NA,NA,32.3,39.5,1906,NA,NA,NA,NA,Data not reported,NA,"(40.130570048, -74.273691288)",PA,PA1,Q045,VALUE,34,Income,Data not reported,INC,INCNR
2020,2020,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,27.1,27.1,NA,NA,21.7,33.3,296,NA,18 - 24,NA,NA,NA,NA,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,01,Age (years),18 - 24,AGEYR,AGEYR1824
2018,2018,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(42.27687047000046, -72.08269067499964)",PA,PA1,Q047,VALUE,25,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2016,2016,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,39.2,39.2,NA,NA,35,43.5,2126,NA,55 - 64,NA,NA,NA,NA,"(31.827240407, -99.426770206)",OWS,OWS1,Q036,VALUE,48,Age (years),55 - 64,AGEYR,AGEYR5564
2021,2021,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25.5,25.5,NA,NA,24,27,5903,Total,NA,NA,NA,NA,NA,"(47.47531977900047, -100.11842104899966)",PA,PA1,Q047,VALUE,38,Total,Total,OVR,OVERALL
2020,2020,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34.1,34.1,NA,NA,28.8,39.9,511,NA,NA,NA,NA,"Less than $15,000",NA,"(37.63864012300047, -120.99999953799971)",PA,PA1,Q047,VALUE,06,Income,"Less than $15,000",INC,INCLESS15
2015,2015,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,44.4,44.4,NA,NA,41.6,47.2,1870,NA,45 - 54,NA,NA,NA,NA,"(42.827001032, -75.543970427)",PA,PA1,Q043,VALUE,36,Age (years),45 - 54,AGEYR,AGEYR4554
